ID Year,Year,Average Commute Time,Geography,ID Geography,Slug Geography
2014,"2014",16.372445616348056,"Eggertsville, NY","16000US3623701","eggertsville-ny"
2014,"2014",18.99510119891711,"Kenmore, NY","16000US3639232","kenmore-ny"
2014,"2014",21.028888280394305,"Lackawanna, NY","16000US3640189","lackawanna-ny"
2014,"2014",19.63596249310535,"Sloan, NY","16000US3667686","sloan-ny"
2014,"2014",19.06706204379562,"Tonawanda, NY","16000US3674183","tonawanda-ny"
2014,"2014",20.44041570438799,"West Seneca, NY","16000US3680907","west-seneca-ny"
2014,"2014",21.0182301727603,"Buffalo-Cheektowaga-Niagara Falls, NY","31000US15380","buffalo-cheektowaga-niagara-falls-ny"
2013,"2013",25.52267505787749,"United States","01000US","united-states"
2013,"2013",31.61959913855097,"New York","04000US36","new-york"
2013,"2013",20.88784629887241,"Erie County, NY","05000US36029","erie-county-ny"
2013,"2013",20.013775053378332,"Buffalo, NY","16000US3611000","buffalo-ny"
2013,"2013",19.554114589094127,"Cheektowaga, NY","16000US3615000","cheektowaga-ny"
2013,"2013",17.157462790374183,"Eggertsville, NY","16000US3623701","eggertsville-ny"
2013,"2013",17.32056793018106,"Kenmore, NY","16000US3639232","kenmore-ny"
2013,"2013",21.566859236297027,"Lackawanna, NY","16000US3640189","lackawanna-ny"
2013,"2013",16.775521405049396,"Sloan, NY","16000US3667686","sloan-ny"
2013,"2013",18.750087114084604,"Tonawanda, NY","16000US3674183","tonawanda-ny"
2013,"2013",20.199880118037626,"West Seneca, NY","16000US3680907","west-seneca-ny"
2013,"2013",20.930406675746646,"Buffalo-Cheektowaga-Niagara Falls, NY","31000US15380","buffalo-cheektowaga-niagara-falls-ny"
